,osl_property_id,asset_name,employer_name,old_commute,new_commute,closest_asset,is_closest_asset
69,2691034,Cortland Park 83,Progressive Lighting ,28.955,29.658333333333335,Cortland Peachtree Battle,False
70,2691034,Cortland Park 83,Progressive Lighting ,28.955,29.353333333333335,Cortland Peachtree Battle,False
71,2911004,Cortland Watermark,Cortland,42.03,25.533333333333335,Cortland at Phipps Plaza,False
72,2911004,Cortland Watermark,Cortland,42.03,25.658333333333335,Cortland at Phipps Plaza,False
75,2911004,Cortland Watermark,Bittencourt Company,0.0,4.78,Cortland East Cobb,False
76,2911004,Cortland Watermark,Bittencourt Company,0.0,3.8583333333333334,Cortland East Cobb,False
77,2911004,Cortland Watermark,Marietta Auto Sales,33.486666666666665,5.84,Cortland East Cobb,False
78,2911004,Cortland Watermark,Marietta Auto Sales,33.486666666666665,5.965,Cortland East Cobb,False
81,2911004,Cortland Watermark,Life University,9.843333333333334,9.998333333333333,Cortland Woodlands,False
82,2911004,Cortland Watermark,Life University,9.843333333333334,10.123333333333333,Cortland Woodlands,False
83,2911004,Cortland Watermark,kennesaw state university,65.27333333333334,9.178333333333335,Jamestown Village,False
84,2911004,Cortland Watermark,kennesaw state university,65.27333333333334,9.303333333333335,Jamestown Village,False
85,2911004,Cortland Watermark,Johnson Ferry Baptist Church,21.205,12.433333333333334,Provence North,False
86,2911004,Cortland Watermark,Johnson Ferry Baptist Church,21.205,11.511666666666667,Provence North,False
87,2911004,Cortland Watermark,Emory Conference Center Hotel,34.45666666666667,34.419999999999995,Decatur Highlands,False
88,2911004,Cortland Watermark,Emory Conference Center Hotel,34.45666666666667,34.544999999999995,Decatur Highlands,False
89,2911004,Cortland Watermark,First advantage,49.861666666666665,41.559999999999995,Towne West Manor,False
90,2911004,Cortland Watermark,First advantage,49.861666666666665,41.684999999999995,Towne West Manor,False
91,2911004,Cortland Watermark,Andretti’s Indoor Karting & Games,4.983333333333333,5.545,Cortland East Cobb,False
92,2911004,Cortland Watermark,Andretti’s Indoor Karting & Games,4.983333333333333,5.67,Cortland East Cobb,False
93,2911004,Cortland Watermark,SpineCenter Atlanta,10.353333333333333,17.953333333333333,Cortland at Buckhead Village,False
94,2911004,Cortland Watermark,SpineCenter Atlanta,10.353333333333333,18.078333333333333,Cortland at Buckhead Village,False
99,2911004,Cortland Watermark,Nuestros Ninos,18.586666666666666,6.091666666666667,Cortland East Cobb,False
100,2911004,Cortland Watermark,Nuestros Ninos,18.586666666666666,6.216666666666667,Cortland East Cobb,False
103,2911004,Cortland Watermark,Ross,28.09,23.793333333333333,Tramore Village,False
104,2911004,Cortland Watermark,Ross,28.09,23.918333333333333,Tramore Village,False
105,2911004,Cortland Watermark,Lockheed Martin,36.586666666666666,18.55,Battery 2nd Base,False
106,2911004,Cortland Watermark,Lockheed Martin,36.586666666666666,18.675,Battery 2nd Base,False
117,2911004,Cortland Watermark,TopDressing.com,11.576666666666666,10.526666666666667,Cortland East Cobb,False
118,2911004,Cortland Watermark,TopDressing.com,11.576666666666666,10.651666666666667,Cortland East Cobb,False
119,2911004,Cortland Watermark,Kennestone Hospital (Wellstar),24.313333333333333,12.148333333333333,Cortland East Cobb,False
120,2911004,Cortland Watermark,Kennestone Hospital (Wellstar),24.313333333333333,12.273333333333333,Cortland East Cobb,False
121,2911004,Cortland Watermark,Ed Castro Landscaping ,11.725,26.285,Cortland Lex,False
122,2911004,Cortland Watermark,Ed Castro Landscaping ,11.725,25.363333333333333,Cortland Lex,False
127,2911004,Cortland Watermark,Aramark,20.251666666666665,30.063333333333333,Attiva Peachtree,False
128,2911004,Cortland Watermark,Aramark,20.251666666666665,30.188333333333333,Attiva Peachtree,False
131,2946883,Cortland 3131,Lenbrook Square Foundation ,71.06666666666666,11.536666666666667,Cortland at Phipps Plaza,False
132,2946883,Cortland 3131,Lenbrook Square Foundation ,71.06666666666666,11.213333333333333,Cortland at Phipps Plaza,False
137,2946883,Cortland 3131,Revvity Omics,5.4783333333333335,20.576666666666664,Cortland Portico,False
138,2946883,Cortland 3131,Revvity Omics,5.4783333333333335,20.253333333333334,Cortland Portico,False
139,2946883,Cortland 3131,Mellow Mushroom,12.09,3.9949999999999997,Cortland Oleander - Phase 2,False
140,2946883,Cortland 3131,Mellow Mushroom,12.09,3.671666666666667,Cortland Oleander - Phase 2,False
145,2946883,Cortland 3131,Morehouse College,41.07,20.743333333333332,GE Tower,False
146,2946883,Cortland 3131,Morehouse College,41.07,20.42,GE Tower,False
155,2946883,Cortland 3131,Emory Healthcare,55.39333333333333,15.43,Cortland Old Fourth Ward,False
156,2946883,Cortland 3131,Emory Healthcare,55.39333333333333,15.106666666666666,Cortland Old Fourth Ward,False
157,2946883,Cortland 3131,GXO ,86.07833333333333,43.02333333333333,East Ridge Park,False
158,2946883,Cortland 3131,GXO ,86.07833333333333,42.7,East Ridge Park,False
164,2946884,Cortland North Brookhaven,Intuitive Surgical,76.62666666666668,14.165,The Springs at Peachtree Corners,False
165,2946884,Cortland North Brookhaven,"Upscale Towing, LLC",79.46666666666667,40.52166666666667,Cortland East Cobb,False
166,2946884,Cortland North Brookhaven,Elite hookah lounge ,37.865,33.986666666666665,Cortland Sugarloaf,False
167,2946884,Cortland North Brookhaven,Wares Manufacturing LLC,39.87166666666667,47.413333333333334,Spring Valley,False
169,2946884,Cortland North Brookhaven,Children's Healthcare of Atlanta / Marcus Autism Center,2.8400000000000003,10.551666666666668,Cortland Oleander - Phase 2,False
171,2946884,Cortland North Brookhaven,Trader Joes,5.406666666666666,11.171666666666665,Cortland at Buckhead Village,False
172,2946884,Cortland North Brookhaven,RT Specialty,15.59,7.676666666666667,Perimeter 5550,False
173,2946884,Cortland North Brookhaven,Dekalb County,14.993333333333334,17.48166666666667,Somerset,False
176,2946884,Cortland North Brookhaven,Zurich,9.038333333333332,7.1466666666666665,Cortland at the Hill,False
178,2946884,Cortland North Brookhaven,Northside Hospital,33.09,20.525,Provence North,False
179,2946884,Cortland North Brookhaven,Georgia Urology,30.881666666666668,28.673333333333336,Ten Oaks,False
181,2946884,Cortland North Brookhaven,Tapestry Charter Public School,22.121666666666666,6.953333333333333,Cantera,False
184,2946884,Cortland North Brookhaven,Coca-Cola,8.205,29.185,East Ridge Park,False
